# e60_m10_r0.02_l784-30-10.txt
2017-02-19 23:03:01.091480

num hidden layers : 1
layers            : [784, 30, 10]
learning rate     : 0.02
mini-batch size   : 10
epochs            : 60

########################################
Epoch 0: 2913 / 10000
Epoch 1: 4259 / 10000
Epoch 2: 4917 / 10000
Epoch 3: 5393 / 10000
Epoch 4: 5911 / 10000
Epoch 5: 6388 / 10000
Epoch 6: 6793 / 10000
Epoch 7: 7095 / 10000
Epoch 8: 7313 / 10000
Epoch 9: 7494 / 10000
Epoch 10: 7639 / 10000
Epoch 11: 7770 / 10000
Epoch 12: 7869 / 10000
Epoch 13: 7946 / 10000
Epoch 14: 8043 / 10000
Epoch 15: 8123 / 10000
Epoch 16: 8172 / 10000
Epoch 17: 8231 / 10000
Epoch 18: 8264 / 10000
Epoch 19: 8332 / 10000
Epoch 20: 8353 / 10000
Epoch 21: 8388 / 10000
Epoch 22: 8432 / 10000
Epoch 23: 8453 / 10000
Epoch 24: 8484 / 10000
Epoch 25: 8508 / 10000
Epoch 26: 8531 / 10000
Epoch 27: 8563 / 10000
Epoch 28: 8586 / 10000
Epoch 29: 8610 / 10000
Epoch 30: 8624 / 10000
Epoch 31: 8643 / 10000
Epoch 32: 8657 / 10000
Epoch 33: 8672 / 10000
Epoch 34: 8678 / 10000
Epoch 35: 8700 / 10000
Epoch 36: 8710 / 10000
Epoch 37: 8726 / 10000
Epoch 38: 8748 / 10000
Epoch 39: 8754 / 10000
Epoch 40: 8764 / 10000
Epoch 41: 8772 / 10000
Epoch 42: 8783 / 10000
Epoch 43: 8786 / 10000
Epoch 44: 8802 / 10000
Epoch 45: 8807 / 10000
Epoch 46: 8809 / 10000
Epoch 47: 8820 / 10000
Epoch 48: 8830 / 10000
Epoch 49: 8836 / 10000
Epoch 50: 8838 / 10000
Epoch 51: 8845 / 10000
Epoch 52: 8852 / 10000
Epoch 53: 8856 / 10000
Epoch 54: 8868 / 10000
Epoch 55: 8873 / 10000
Epoch 56: 8879 / 10000
Epoch 57: 8876 / 10000
Epoch 58: 8890 / 10000
Epoch 59: 8897 / 10000
########################################

end accuracy      : 0.8897
computation time  : 2:55:00
