# e60_m10_r3.0_l784-30-10.txt
2017-02-19 23:04:03.326958

num hidden layers : 1
layers            : [784, 30, 10]
learning rate     : 3.0
mini-batch size   : 10
epochs            : 60

########################################
Epoch 0: 9089 / 10000
Epoch 1: 9162 / 10000
Epoch 2: 9248 / 10000
Epoch 3: 9302 / 10000
Epoch 4: 9385 / 10000
Epoch 5: 9419 / 10000
Epoch 6: 9425 / 10000
Epoch 7: 9435 / 10000
Epoch 8: 9408 / 10000
Epoch 9: 9479 / 10000
Epoch 10: 9478 / 10000
Epoch 11: 9453 / 10000
Epoch 12: 9476 / 10000
Epoch 13: 9473 / 10000
Epoch 14: 9506 / 10000
Epoch 15: 9501 / 10000
Epoch 16: 9515 / 10000
Epoch 17: 9511 / 10000
Epoch 18: 9515 / 10000
Epoch 19: 9486 / 10000
Epoch 20: 9496 / 10000
Epoch 21: 9495 / 10000
Epoch 22: 9506 / 10000
Epoch 23: 9509 / 10000
Epoch 24: 9531 / 10000
Epoch 25: 9507 / 10000
Epoch 26: 9505 / 10000
Epoch 27: 9512 / 10000
Epoch 28: 9519 / 10000
Epoch 29: 9520 / 10000
Epoch 30: 9523 / 10000
Epoch 31: 9503 / 10000
Epoch 32: 9512 / 10000
Epoch 33: 9516 / 10000
Epoch 34: 9523 / 10000
Epoch 35: 9533 / 10000
Epoch 36: 9500 / 10000
Epoch 37: 9513 / 10000
Epoch 38: 9518 / 10000
Epoch 39: 9508 / 10000
Epoch 40: 9513 / 10000
Epoch 41: 9508 / 10000
Epoch 42: 9514 / 10000
Epoch 43: 9525 / 10000
Epoch 44: 9516 / 10000
Epoch 45: 9523 / 10000
Epoch 46: 9515 / 10000
Epoch 47: 9521 / 10000
Epoch 48: 9515 / 10000
Epoch 49: 9521 / 10000
Epoch 50: 9517 / 10000
Epoch 51: 9508 / 10000
Epoch 52: 9539 / 10000
Epoch 53: 9516 / 10000
Epoch 54: 9514 / 10000
Epoch 55: 9502 / 10000
Epoch 56: 9525 / 10000
Epoch 57: 9508 / 10000
Epoch 58: 9509 / 10000
Epoch 59: 9502 / 10000
########################################

end accuracy      : 0.9502
computation time  : 2:50:00
